C02173V02619,Area of Residence,TLIST(Q1),Quarter,STATISTIC,Statistic Label,UNIT,VALUE
-,All Countries,20181,2018Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,1921
-,All Countries,20181,2018Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.5
-,All Countries,20181,2018Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,795
-,All Countries,20182,2018Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,2952
-,All Countries,20182,2018Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.3
-,All Countries,20182,2018Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,1475
-,All Countries,20183,2018Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,3331
-,All Countries,20183,2018Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.4
-,All Countries,20183,2018Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,1832
-,All Countries,20184,2018Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,2413
-,All Countries,20184,2018Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.3
-,All Countries,20184,2018Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,1047
-,All Countries,20191,2019Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,2027
-,All Countries,20191,2019Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6
-,All Countries,20191,2019Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,763
-,All Countries,20192,2019Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,3022
-,All Countries,20192,2019Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.5
-,All Countries,20192,2019Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,1513
-,All Countries,20193,2019Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,3334
-,All Countries,20193,2019Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7
-,All Countries,20193,2019Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,1824
-,All Countries,20194,2019Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,2425
-,All Countries,20194,2019Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.2
-,All Countries,20194,2019Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,1001
DE,Germany,20121,2012Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,66
DE,Germany,20121,2012Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.9
DE,Germany,20121,2012Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,27
DE,Germany,20122,2012Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,134
DE,Germany,20122,2012Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.2
DE,Germany,20122,2012Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,71
DE,Germany,20123,2012Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,155
DE,Germany,20123,2012Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.2
DE,Germany,20123,2012Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,82
DE,Germany,20124,2012Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,93
DE,Germany,20124,2012Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.3
DE,Germany,20124,2012Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,47
DE,Germany,20131,2013Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,73
DE,Germany,20131,2013Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.4
DE,Germany,20131,2013Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,37
DE,Germany,20132,2013Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,141
DE,Germany,20132,2013Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.2
DE,Germany,20132,2013Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,94
DE,Germany,20133,2013Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,166
DE,Germany,20133,2013Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,10.3
DE,Germany,20133,2013Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,101
DE,Germany,20134,2013Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,103
DE,Germany,20134,2013Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9
DE,Germany,20134,2013Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,54
DE,Germany,20141,2014Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,83
DE,Germany,20141,2014Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.6
DE,Germany,20141,2014Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,36
DE,Germany,20142,2014Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,171
DE,Germany,20142,2014Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.7
DE,Germany,20142,2014Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,122
DE,Germany,20143,2014Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,189
DE,Germany,20143,2014Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,10.1
DE,Germany,20143,2014Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,124
DE,Germany,20144,2014Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,115
DE,Germany,20144,2014Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.4
DE,Germany,20144,2014Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,51
DE,Germany,20151,2015Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,86
DE,Germany,20151,2015Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,10.1
DE,Germany,20151,2015Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,41
DE,Germany,20152,2015Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,196
DE,Germany,20152,2015Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,10.4
DE,Germany,20152,2015Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,146
DE,Germany,20153,2015Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,214
DE,Germany,20153,2015Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.1
DE,Germany,20153,2015Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,144
DE,Germany,20154,2015Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,133
DE,Germany,20154,2015Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.5
DE,Germany,20154,2015Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,66
DE,Germany,20161,2016Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,104
DE,Germany,20161,2016Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.9
DE,Germany,20161,2016Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,44
DE,Germany,20162,2016Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,192
DE,Germany,20162,2016Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.3
DE,Germany,20162,2016Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,122
DE,Germany,20163,2016Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,223
DE,Germany,20163,2016Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.5
