C02173V02619,Area of Residence,TLIST(Q1),Quarter,STATISTIC,Statistic Label,UNIT,VALUE
XB,"Great Britain (includes England, Scotland, Wales)",20132,2013Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,727
XB,"Great Britain (includes England, Scotland, Wales)",20132,2013Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,4.3
XB,"Great Britain (includes England, Scotland, Wales)",20132,2013Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,194
XB,"Great Britain (includes England, Scotland, Wales)",20133,2013Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,905
XB,"Great Britain (includes England, Scotland, Wales)",20133,2013Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,5.5
XB,"Great Britain (includes England, Scotland, Wales)",20133,2013Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,281
XB,"Great Britain (includes England, Scotland, Wales)",20134,2013Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,727
XB,"Great Britain (includes England, Scotland, Wales)",20134,2013Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,4.2
XB,"Great Britain (includes England, Scotland, Wales)",20134,2013Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,196
XB,"Great Britain (includes England, Scotland, Wales)",20141,2014Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,635
XB,"Great Britain (includes England, Scotland, Wales)",20141,2014Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,4.3
XB,"Great Britain (includes England, Scotland, Wales)",20141,2014Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,171
XB,"Great Britain (includes England, Scotland, Wales)",20142,2014Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,838
XB,"Great Britain (includes England, Scotland, Wales)",20142,2014Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,4.2
XB,"Great Britain (includes England, Scotland, Wales)",20142,2014Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,223
XB,"Great Britain (includes England, Scotland, Wales)",20143,2014Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,923
XB,"Great Britain (includes England, Scotland, Wales)",20143,2014Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,5.5
XB,"Great Britain (includes England, Scotland, Wales)",20143,2014Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,280
XB,"Great Britain (includes England, Scotland, Wales)",20144,2014Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,768
XB,"Great Britain (includes England, Scotland, Wales)",20144,2014Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,3.9
XB,"Great Britain (includes England, Scotland, Wales)",20144,2014Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,212
XB,"Great Britain (includes England, Scotland, Wales)",20151,2015Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,726
XB,"Great Britain (includes England, Scotland, Wales)",20151,2015Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,4.1
XB,"Great Britain (includes England, Scotland, Wales)",20151,2015Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,181
XB,"Great Britain (includes England, Scotland, Wales)",20152,2015Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,886
XB,"Great Britain (includes England, Scotland, Wales)",20152,2015Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,4.2
XB,"Great Britain (includes England, Scotland, Wales)",20152,2015Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,246
XB,"Great Britain (includes England, Scotland, Wales)",20153,2015Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,1050
XB,"Great Britain (includes England, Scotland, Wales)",20153,2015Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,5.1
XB,"Great Britain (includes England, Scotland, Wales)",20153,2015Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,309
XB,"Great Britain (includes England, Scotland, Wales)",20154,2015Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,884
XB,"Great Britain (includes England, Scotland, Wales)",20154,2015Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,3.6
XB,"Great Britain (includes England, Scotland, Wales)",20154,2015Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,236
XB,"Great Britain (includes England, Scotland, Wales)",20161,2016Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,851
XB,"Great Britain (includes England, Scotland, Wales)",20161,2016Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,3.8
XB,"Great Britain (includes England, Scotland, Wales)",20161,2016Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,214
XB,"Great Britain (includes England, Scotland, Wales)",20162,2016Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,1014
XB,"Great Britain (includes England, Scotland, Wales)",20162,2016Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,4
XB,"Great Britain (includes England, Scotland, Wales)",20162,2016Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,269
XB,"Great Britain (includes England, Scotland, Wales)",20163,2016Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,1148
XB,"Great Britain (includes England, Scotland, Wales)",20163,2016Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,5
XB,"Great Britain (includes England, Scotland, Wales)",20163,2016Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,337
XB,"Great Britain (includes England, Scotland, Wales)",20164,2016Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,911
XB,"Great Britain (includes England, Scotland, Wales)",20164,2016Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,3.8
XB,"Great Britain (includes England, Scotland, Wales)",20164,2016Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,241
XB,"Great Britain (includes England, Scotland, Wales)",20171,2017Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,796
XB,"Great Britain (includes England, Scotland, Wales)",20171,2017Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,4
XB,"Great Britain (includes England, Scotland, Wales)",20171,2017Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,198
XB,"Great Britain (includes England, Scotland, Wales)",20172,2017Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,949
XB,"Great Britain (includes England, Scotland, Wales)",20172,2017Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,4.3
XB,"Great Britain (includes England, Scotland, Wales)",20172,2017Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,267
XB,"Great Britain (includes England, Scotland, Wales)",20173,2017Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,1065
XB,"Great Britain (includes England, Scotland, Wales)",20173,2017Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,5.2
XB,"Great Britain (includes England, Scotland, Wales)",20173,2017Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,303
XB,"Great Britain (includes England, Scotland, Wales)",20174,2017Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,918
XB,"Great Britain (includes England, Scotland, Wales)",20174,2017Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,3.9
XB,"Great Britain (includes England, Scotland, Wales)",20174,2017Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,239
XB,"Great Britain (includes England, Scotland, Wales)",20181,2018Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,798
XB,"Great Britain (includes England, Scotland, Wales)",20181,2018Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,3.9
XB,"Great Britain (includes England, Scotland, Wales)",20181,2018Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,206
XB,"Great Britain (includes England, Scotland, Wales)",20182,2018Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,988
XB,"Great Britain (includes England, Scotland, Wales)",20182,2018Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,3.9
XB,"Great Britain (includes England, Scotland, Wales)",20182,2018Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,262
XB,"Great Britain (includes England, Scotland, Wales)",20183,2018Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,1056
XB,"Great Britain (includes England, Scotland, Wales)",20183,2018Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,4.8
XB,"Great Britain (includes England, Scotland, Wales)",20183,2018Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,292
XB,"Great Britain (includes England, Scotland, Wales)",20184,2018Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,917
XB,"Great Britain (includes England, Scotland, Wales)",20184,2018Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,3.6
XB,"Great Britain (includes England, Scotland, Wales)",20184,2018Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,221
XB,"Great Britain (includes England, Scotland, Wales)",20191,2019Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,809
XB,"Great Britain (includes England, Scotland, Wales)",20191,2019Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,3.7
XB,"Great Britain (includes England, Scotland, Wales)",20191,2019Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,195
XB,"Great Britain (includes England, Scotland, Wales)",20192,2019Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,985
XB,"Great Britain (includes England, Scotland, Wales)",20192,2019Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,4.1
XB,"Great Britain (includes England, Scotland, Wales)",20192,2019Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,254
XB,"Great Britain (includes England, Scotland, Wales)",20193,2019Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,1065
XB,"Great Britain (includes England, Scotland, Wales)",20193,2019Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,4.9
XB,"Great Britain (includes England, Scotland, Wales)",20193,2019Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,305
XB,"Great Britain (includes England, Scotland, Wales)",20194,2019Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,928
XB,"Great Britain (includes England, Scotland, Wales)",20194,2019Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,3.5
XB,"Great Britain (includes England, Scotland, Wales)",20194,2019Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,223
ZZAC2,Australia and New Zealand,20121,2012Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,21
ZZAC2,Australia and New Zealand,20121,2012Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,16.2
ZZAC2,Australia and New Zealand,20121,2012Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,18
ZZAC2,Australia and New Zealand,20122,2012Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,43
ZZAC2,Australia and New Zealand,20122,2012Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,11.6
ZZAC2,Australia and New Zealand,20122,2012Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,36
ZZAC2,Australia and New Zealand,20123,2012Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,56
ZZAC2,Australia and New Zealand,20123,2012Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,10.8
ZZAC2,Australia and New Zealand,20123,2012Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,49
ZZAC2,Australia and New Zealand,20124,2012Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,34
ZZAC2,Australia and New Zealand,20124,2012Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,10
ZZAC2,Australia and New Zealand,20124,2012Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,30
ZZAC2,Australia and New Zealand,20131,2013Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,26
ZZAC2,Australia and New Zealand,20131,2013Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,16.2
ZZAC2,Australia and New Zealand,20131,2013Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,24
ZZAC2,Australia and New Zealand,20132,2013Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,49
ZZAC2,Australia and New Zealand,20132,2013Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,11.4
ZZAC2,Australia and New Zealand,20132,2013Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,47
ZZAC2,Australia and New Zealand,20133,2013Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,69
ZZAC2,Australia and New Zealand,20133,2013Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,10.7
ZZAC2,Australia and New Zealand,20133,2013Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,61
ZZAC2,Australia and New Zealand,20134,2013Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,43
ZZAC2,Australia and New Zealand,20134,2013Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,11.2
ZZAC2,Australia and New Zealand,20134,2013Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,37
ZZAC2,Australia and New Zealand,20141,2014Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,30
ZZAC2,Australia and New Zealand,20141,2014Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,15.5
ZZAC2,Australia and New Zealand,20141,2014Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,29
ZZAC2,Australia and New Zealand,20142,2014Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,51
ZZAC2,Australia and New Zealand,20142,2014Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,10.1
ZZAC2,Australia and New Zealand,20142,2014Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,45
ZZAC2,Australia and New Zealand,20143,2014Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,69
ZZAC2,Australia and New Zealand,20143,2014Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,12.8
ZZAC2,Australia and New Zealand,20143,2014Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,67
ZZAC2,Australia and New Zealand,20144,2014Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,39
ZZAC2,Australia and New Zealand,20144,2014Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,12.7
ZZAC2,Australia and New Zealand,20144,2014Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,36
ZZAC2,Australia and New Zealand,20151,2015Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,31
ZZAC2,Australia and New Zealand,20151,2015Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,14
ZZAC2,Australia and New Zealand,20151,2015Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,27
ZZAC2,Australia and New Zealand,20152,2015Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,55
ZZAC2,Australia and New Zealand,20152,2015Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,10.7
ZZAC2,Australia and New Zealand,20152,2015Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,52
ZZAC2,Australia and New Zealand,20153,2015Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,76
ZZAC2,Australia and New Zealand,20153,2015Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,12.9
ZZAC2,Australia and New Zealand,20153,2015Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,79
ZZAC2,Australia and New Zealand,20154,2015Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,46
ZZAC2,Australia and New Zealand,20154,2015Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,12.2
ZZAC2,Australia and New Zealand,20154,2015Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,42
ZZAC2,Australia and New Zealand,20161,2016Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,31
ZZAC2,Australia and New Zealand,20161,2016Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,14.2
ZZAC2,Australia and New Zealand,20161,2016Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,31
ZZAC2,Australia and New Zealand,20162,2016Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,51
ZZAC2,Australia and New Zealand,20162,2016Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,12.5
ZZAC2,Australia and New Zealand,20162,2016Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,52
ZZAC2,Australia and New Zealand,20163,2016Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,73
ZZAC2,Australia and New Zealand,20163,2016Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,11.9
ZZAC2,Australia and New Zealand,20163,2016Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,76
ZZAC2,Australia and New Zealand,20164,2016Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,49
ZZAC2,Australia and New Zealand,20164,2016Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,12.3
ZZAC2,Australia and New Zealand,20164,2016Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,45
ZZAC2,Australia and New Zealand,20171,2017Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,35
ZZAC2,Australia and New Zealand,20171,2017Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,15.8
ZZAC2,Australia and New Zealand,20171,2017Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,38
ZZAC2,Australia and New Zealand,20172,2017Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,54
ZZAC2,Australia and New Zealand,20172,2017Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,11.2
ZZAC2,Australia and New Zealand,20172,2017Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,53
ZZAC2,Australia and New Zealand,20173,2017Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,76
ZZAC2,Australia and New Zealand,20173,2017Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,12.5
ZZAC2,Australia and New Zealand,20173,2017Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,76
ZZAC2,Australia and New Zealand,20174,2017Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,43
ZZAC2,Australia and New Zealand,20174,2017Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,12.1
ZZAC2,Australia and New Zealand,20174,2017Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,41
ZZAC2,Australia and New Zealand,20181,2018Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,35
ZZAC2,Australia and New Zealand,20181,2018Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,13.8
ZZAC2,Australia and New Zealand,20181,2018Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,35
ZZAC2,Australia and New Zealand,20182,2018Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,58
ZZAC2,Australia and New Zealand,20182,2018Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,12
ZZAC2,Australia and New Zealand,20182,2018Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,56
ZZAC2,Australia and New Zealand,20183,2018Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,85
ZZAC2,Australia and New Zealand,20183,2018Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,11.8
ZZAC2,Australia and New Zealand,20183,2018Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,83
ZZAC2,Australia and New Zealand,20184,2018Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,50
ZZAC2,Australia and New Zealand,20184,2018Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,11
ZZAC2,Australia and New Zealand,20184,2018Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,44
ZZAC2,Australia and New Zealand,20191,2019Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,33
ZZAC2,Australia and New Zealand,20191,2019Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,14.3
ZZAC2,Australia and New Zealand,20191,2019Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,29
ZZAC2,Australia and New Zealand,20192,2019Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,58
ZZAC2,Australia and New Zealand,20192,2019Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,10.3
ZZAC2,Australia and New Zealand,20192,2019Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,54
ZZAC2,Australia and New Zealand,20193,2019Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,87
ZZAC2,Australia and New Zealand,20193,2019Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,11.5
ZZAC2,Australia and New Zealand,20193,2019Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,83
ZZAC2,Australia and New Zealand,20194,2019Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,47
ZZAC2,Australia and New Zealand,20194,2019Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,11.8
ZZAC2,Australia and New Zealand,20194,2019Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,40
ZZEURQ06,Other Europe (14),20121,2012Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,223
ZZEURQ06,Other Europe (14),20121,2012Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.4
ZZEURQ06,Other Europe (14),20121,2012Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,96
ZZEURQ06,Other Europe (14),20122,2012Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,342
ZZEURQ06,Other Europe (14),20122,2012Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.3
ZZEURQ06,Other Europe (14),20122,2012Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,145
ZZEURQ06,Other Europe (14),20123,2012Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,396
ZZEURQ06,Other Europe (14),20123,2012Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,10.4
ZZEURQ06,Other Europe (14),20123,2012Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,177
ZZEURQ06,Other Europe (14),20124,2012Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,291
ZZEURQ06,Other Europe (14),20124,2012Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.8
ZZEURQ06,Other Europe (14),20124,2012Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,125
ZZEURQ06,Other Europe (14),20131,2013Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,248
ZZEURQ06,Other Europe (14),20131,2013Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.9
ZZEURQ06,Other Europe (14),20131,2013Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,120
ZZEURQ06,Other Europe (14),20132,2013Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,357
ZZEURQ06,Other Europe (14),20132,2013Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.5
ZZEURQ06,Other Europe (14),20132,2013Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,159
ZZEURQ06,Other Europe (14),20133,2013Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,408
ZZEURQ06,Other Europe (14),20133,2013Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,10
ZZEURQ06,Other Europe (14),20133,2013Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,226
ZZEURQ06,Other Europe (14),20134,2013Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,300
ZZEURQ06,Other Europe (14),20134,2013Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.1
ZZEURQ06,Other Europe (14),20134,2013Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,124
ZZEURQ06,Other Europe (14),20141,2014Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,252
ZZEURQ06,Other Europe (14),20141,2014Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.8
ZZEURQ06,Other Europe (14),20141,2014Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,104
ZZEURQ06,Other Europe (14),20142,2014Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,389
ZZEURQ06,Other Europe (14),20142,2014Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.1
ZZEURQ06,Other Europe (14),20142,2014Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,177
